Total Alkaloids,Reducing Sugars,Total Sugars,Total Nitrogen,K,cl,pH,Starch,Neochlorogenic Acid,Chlorogenic Acid,Cryptochlorogenic Acid,Scopoletin,Rutin
3.000904402,14.93547897,16.53601584,2.461891716,2.264714085,6.149247974,4.845,3.238134232,1.518541282,9.448554191,2.698906495,0.494663663,6.98377815
3.380789885,13.94699022,15.12228281,2.670186728,1.983362337,6.63501092,4.8,3.300751423,1.327595426,7.806708994,2.266307406,0.498579101,6.856616494
3.418007056,11.48544196,12.76332416,2.564034839,2.377646288,5.861047448,4.85,3.087716702,1.624246311,8.086730325,2.728663935,0.525417358,7.698474889
3.37314024,14.29277423,16.21337055,2.578115364,2.19713738,5.899469333,4.915,3.218669275,1.631203523,10.23997766,2.670627586,0.508480302,9.014136513
3.225418405,15.59619546,18.63635514,2.385344817,1.859513702,5.570915069,5.065,3.721553322,1.80177222,9.574433745,2.792604251,0.265161681,8.895350303
3.588337093,13.7919357,16.29548619,2.686452023,1.949707224,6.146076197,4.895,3.367632668,1.377320927,9.880347971,2.281105005,0.436129678,10.05513544
3.672651668,13.76459135,17.1146482,2.657132297,2.189934952,5.608303062,5.005,3.408981645,1.696184929,9.915356644,2.537730623,0.326116365,9.590380312
3.199249202,12.32507425,14.45242438,2.59017948,2.319368027,5.205407832,4.845,3.006255445,1.505970655,8.920990491,2.476625308,0.44228365,8.148270435
3.595583167,15.27096724,17.64884608,2.539659913,2.04098255,5.483627227,4.89,3.779496052,1.399877695,10.15235271,2.340649829,0.28933465,8.230073748
3.880882054,12.28457887,13.69420582,2.689986482,2.118933674,5.559859154,4.86,3.035126766,1.498760447,9.01599568,2.520002124,0.498075757,8.308537461
3.268035004,14.78701755,17.9456261,2.528555894,2.063717265,5.209959832,5.035,3.603496105,1.748288566,9.863338539,2.83376587,0.325375585,9.36731623
3.462360601,14.6044076,17.2306775,2.572295461,2.11046568,4.129129423,4.935,4.210936695,1.745728897,9.402663024,2.627200971,0.312640345,9.644945926
3.967023676,15.82463065,18.69490963,2.592862187,1.850602428,3.742356652,4.9325,4.322876902,1.765103616,10.34597665,2.603999349,0.339756045,10.37037739
3.269678534,12.10457982,13.93464289,2.591059734,2.471362843,6.241300023,4.925,2.699593573,1.905702614,10.05484172,3.102059199,0.408462646,9.764388039
3.560790278,13.95217784,17.56191464,2.56685442,1.937775634,4.877445251,4.98,3.902981532,1.660142148,9.426788386,2.62963429,0.25875893,9.458181857
3.549203846,14.10380138,17.19292416,2.51018444,1.975625266,5.524937275,5.03,3.819742489,1.700236509,9.72333753,2.684278416,0.28037571,9.599041985
3.504542023,15.64981296,19.8673814,2.476051176,1.970567136,5.16392663,5.055,4.4042006,1.747928353,10.44400423,2.666822898,0.231225247,10.41119084
3.65993286,15.10388129,18.47227672,2.709532347,1.682254588,4.857386609,4.96,4.098639661,1.864067793,10.45112185,2.785018354,0.233643813,9.839871932
3.436898203,14.31907688,16.41866198,2.55933934,1.942784835,5.929003885,4.96,3.952159906,1.705054439,9.360113135,2.488908627,0.296571489,9.250436298
3.636486666,11.87829361,12.42479129,2.856128182,2.187732756,6.33985635,4.64,3.156974875,1.317819939,7.931602776,2.082511372,0.684766492,6.616023946
2.823702353,14.36936875,16.55318984,2.48837264,2.334992572,7.533639745,4.95,2.816910943,1.879192642,11.39885285,2.9487518,0.421017355,9.69665713
3.714487427,13.49960344,15.10013992,2.496734752,2.244912891,5.219949192,4.7,4.460703661,1.364275757,8.429821593,2.144484652,0.45028993,8.510845534
2.883616154,14.23118852,16.0988562,2.497332261,2.539325428,8.72253071,4.81,3.603885402,1.657190355,10.06632821,2.648274155,0.406733439,8.437801932
3.497885152,11.74840005,13.15948176,2.786266247,2.712871065,7.335342672,4.78,3.045133912,1.714474854,9.149441891,2.606443701,0.524543478,9.260833014
3.102823532,13.34665787,15.4190881,2.659962027,2.384666795,7.032901245,4.89,2.921065611,1.735929991,10.42189929,2.715144019,0.467444149,8.669645582
3.170052163,13.51910045,15.72723632,2.401086459,2.130072172,5.753277032,4.87,3.088379758,1.629540918,9.008175966,2.512407543,0.364223489,7.459115154
3.186801271,13.48180958,15.39822591,2.45175282,2.037634259,3.820619477,4.92,3.104319224,1.773542299,9.379193918,2.654921218,0.33824489,8.66292221
3.4796052,14.68861395,17.22215809,2.424788606,1.924244967,5.936178216,5.015,3.584035117,1.44754717,9.877350544,2.234665122,0.312981158,7.904102997
3.336380263,14.2830895,17.90678641,2.321976505,1.987464386,5.264889877,4.99,3.462164312,1.672054456,10.62435846,2.514259892,0.241804377,8.267304592
3.644936291,14.1640416,16.17167294,2.43220424,1.898880883,6.492412243,5.005,3.243047475,1.480225499,9.896366789,2.218930852,0.324286756,9.062753271
3.511101601,15.25263085,17.30638266,2.272335693,1.861733775,4.809615384,5.005,3.775358803,1.547718274,9.90464169,2.333392474,0.289924139,8.407722726
3.616779999,11.36911236,13.37554953,2.357970029,2.15696756,5.112379061,5.035,3.083775689,1.478745974,9.43577282,2.147393662,0.407714056,8.767212268
3.365699643,16.370527,17.92117994,2.186339354,2.011626878,3.055232452,4.84,4.52239934,1.563589056,9.143471393,2.225277931,0.299179655,8.993487608
3.075649236,15.55222021,18.10748069,2.31602769,2.181151369,3.662141511,4.9,4.131485454,1.64096433,9.757671299,2.441845014,0.2989455,9.230276318
1.528228869,20.99040277,22.91053896,1.818568224,3.273100751,5.522703528,4.94,3.905219684,1.366784683,7.23861466,1.893697427,0.25813381,4.715933986
3.604818702,15.97105727,19.78983377,2.276959729,1.741449612,5.409521547,5.11,4.190946965,1.492848585,10.88492565,2.280833916,0.285984631,9.851724165
3.683958982,16.31305821,17.69761765,2.407903258,1.601238767,6.919785309,4.875,4.989997742,1.356953289,10.10269724,2.020362254,0.383298604,9.420953733
2.943910619,15.60554043,17.37365935,2.34028355,2.126562886,3.955813418,4.835,3.474691473,1.434928896,8.776276132,2.27077969,0.374488737,6.869094525
