predictor,component,p,component_sign
1117,1,0.0067965561175415056,-1
1118,1,0.0063474288697389419,-1
1119,1,0.0043883852117512752,-1
1120,1,0.0025607207221269605,-1
1121,1,0.0011910929168199723,-1
1122,1,-0.00043162039426758827,-1
1123,1,-0.0013997742222448843,-1
1124,1,-0.0028630130356461867,-1
1125,1,-0.0041501916449817079,-1
1126,1,-0.0057120982711655281,-1
1127,1,-0.0082491373884503554,-1
1128,1,-0.0093321789363303154,-1
1129,1,-0.010985264120713751,-1
1130,1,-0.012017058620713566,-1
1131,1,-0.013440036417023078,-1
1132,1,-0.014198787120579452,-1
1133,1,-0.013910714379104228,-1
1134,1,-0.013750358717076772,-1
1135,1,-0.01419305742399315,-1
1136,1,-0.014639370867428957,-1
1137,1,-0.014391431961139943,-1
1138,1,-0.013435233386917267,-1
1139,1,-0.013161420733855522,-1
1140,1,-0.012156783925692799,-1
1141,1,-0.011713441010089724,-1
1142,1,-0.010419232078076244,-1
1143,1,-0.010018025045497238,-1
1144,1,-0.0091602360520520645,-1
1145,1,-0.0079456547937410572,-1
1146,1,-0.0071911091936838955,-1
1147,1,-0.0070787920492887254,-1
1148,1,-0.0059758689423030789,-1
1149,1,-0.0058360134682046141,-1
1150,1,-0.0054463472790615697,-1
1151,1,-0.0047628671518283117,-1
1152,1,-0.0034059144092768289,-1
1153,1,-0.0037615881282538756,-1
1154,1,-0.0025269696701715472,-1
1155,1,-0.0016603804282512662,-1
1156,1,-0.0018460439023675781,-1
1157,1,-0.0010874033887175354,-1
1158,1,0.00099631890356382266,-1
1159,1,0.0021737368292489099,-1
1160,1,0.0040597862062725105,-1
1161,1,0.0042893889725713133,-1
1162,1,0.0056269141940400585,-1
1163,1,0.0061742581317873373,-1
1164,1,0.0072057542111721691,-1
1165,1,0.00902828540658299,-1
1166,1,0.00996792563657776,-1
1167,1,0.011283540148071095,-1
1168,1,0.012829274405352014,-1
1169,1,0.014529395395723179,-1
1170,1,0.015325492274261663,-1
1171,1,0.015516425052055071,-1
1172,1,0.016705211213150144,-1
1173,1,0.017708216852387292,-1
1174,1,0.019176426341314255,-1
1175,1,0.020709222035281121,-1
1176,1,0.021346953749231939,-1
1177,1,0.022587051956417643,-1
1178,1,0.024838571146531267,-1
1179,1,0.025344786759638475,-1
1180,1,0.026372163947078253,-1
1181,1,0.026523594761398723,-1
1182,1,0.027576065379814038,-1
1183,1,0.028280543144528766,-1
1184,1,0.028285033935801989,-1
1185,1,0.029020642508148065,-1
1186,1,0.028144499224454483,-1
1187,1,0.028894927843792419,-1
1188,1,0.029693557331714922,-1
1189,1,0.02885991291010858,-1
1190,1,0.028961988055151485,-1
1191,1,0.028722391260387545,-1
1192,1,0.028736828831276384,-1
1193,1,0.027785681701670392,-1
1194,1,0.027483635175717568,-1
1195,1,0.027273660103912644,-1
1196,1,0.026003133486929585,-1
1197,1,0.025218776210913646,-1
1198,1,0.024428701885785262,-1
1199,1,0.023003591505456038,-1
1200,1,0.021238012037266222,-1
1201,1,0.021084425652011112,-1
1202,1,0.019701231524091294,-1
1203,1,0.017824133583501135,-1
1204,1,0.016875518775809374,-1
1205,1,0.016000370637287147,-1
1206,1,0.014832217070734482,-1
1207,1,0.013148966490698509,-1
